c v	1 0
a c < c c { c c v ( { ( { } ) q w z [ < ( ) < { c v } q c [ c c v v ] c c [ ] v v v ( ) w > > [ ] ] c v x c ( ) v c v } [ ] ( ) ) v c v ( ) } v v < > a s c v > v c v s	1 2 3 4 5 6 7 8 7 8 9 10 11 10 9 10 9 10 11 12 13 12 13 14 15 14 13 14 15 16 17 18 17 16 15 16 17 18 17 16 15 14 15 14 13 12 11 12 11 10 11 10 9 10 11 10 9 10 9 8 9 8 9 8 7 6 7 6 7 6 5 4 3 4 3 4 3 4 3 2 1 2 1 0
c < c a s v a s > v	1 2 3 4 3 2 3 2 1 0
c v c c a q c z x [ c v [ { } c q c v w c v v a q [ ] { a a s z x s c v } [ ] w z x s c v ] c c v v [ ] [ ] ] ( z x ) v w s c z x c v v v v	1 0 1 2 3 4 5 6 5 6 7 6 7 8 7 8 9 10 9 8 9 8 7 8 9 10 9 10 11 12 11 12 11 10 11 10 9 10 9 8 9 8 7 8 7 6 7 8 7 6 7 6 7 6 5 6 7 6 5 4 3 2 3 4 3 4 3 2 1 0
c a q w s q w v	1 2 3 2 1 2 1 0
c v { c { a c c c v v ( z c { < > c a c v s c a c a c v s v s ( c v [ c [ ] v ] c v c ( ) v ) v v } v x ) c v v s } v } { }	1 0 1 2 3 4 5 6 7 6 5 6 7 8 9 10 9 10 11 12 11 10 11 12 13 14 15 14 13 12 11 12 13 12 13 14 15 14 13 12 13 12 13 14 13 12 11 10 9 8 7 6 5 6 5 4 3 2 1 0 1 0
c c v c c c v v c v < a a c c < > [ q w < c { c q w c v v c { c c v v a [ ] z [ c c v v c a q w c v { < ( ) > } c { } v s v q c v c v w ] x s ( ) } v c v } v [ ] > { } ] v c v v s s > [ [ c ( ) v ] ]	1 2 1 2 3 4 3 2 3 2 3 4 5 6 7 8 7 8 9 8 9 10 11 12 13 12 13 12 11 12 13 14 15 14 13 14 15 14 15 16 17 18 17 16 17 18 19 18 19 18 19 20 21 20 19 18 19 20 19 18 17 16 17 18 17 18 17 16 15 14 13 14 13 12 11 12 11 10 9 10 9 8 9 8 7 6 7 6 5 4 3 2 3 4 5 6 5 4 3 2
c v { { c a c [ c v ] c v < [ z ( < c c v c q w q w q z c < z c a [ ] s v x < [ ( ) ] > a s > v [ ] [ ( ) < > ] z [ c v ] x x a s w c v v ( ) ( ) < c v > ( [ ] ) v > ) ( ) x ] c v > c v v c v s v z x	1 0 1 2 3 4 5 6 7 6 5 6 5 6 7 8 9 10 11 12 11 12 13 12 13 12 13 14 15 16 17 18 19 20 19 18 17 16 17 18 19 18 17 16 17 16 15 14 15 14 15 16 15 16 15 14 15 16 17 16 15 14 13 14 13 12 13 12 11 12 11 12 11 12 13 12 11 12 13 12 11 10 9 8 9 8 7 6 7 6 5 6 5 4 5 4 3 2 3 2
[ < c v z x > { } ]	1 2 3 2 3 2 1 2 1 0
[ ( ( c v ) ) ] { } c z c z ( a a < c v ( q w ) > [ ] c < c { } v [ c v ] z c v a c { } q < > w v ( ) s x > ( ) v c v s z x s ) { ( ) } c v x v < > x c < > v v	1 2 3 4 3 2 1 0 1 0 1 2 3 4 5 6 7 8 9 8 9 10 9 8 7 8 7 8 9 10 11 10 9 10 11 10 9 10 11 10 11 12 13 12 13 14 13 12 11 12 11 10 9 8 9 8 7 8 7 6 7 6 5 4 5 6 5 4 5 4 3 2 3 2 1 2 3 2 1 0
c c ( ( c [ a { [ < > a s c ( ( c v c c z x v c c v v v [ [ < < > > ] ] [ ] ) ) { c c < c a s v > c v v v } c v q c [ ] v w v [ ] ( ) ] } a < c z x v > s s [ q w ( ) ] c { } v ] a s v ) ) c v v v	1 2 3 4 5 6 7 8 9 10 9 10 9 10 11 12 13 12 13 14 15 14 13 14 15 14 13 12 13 14 15 16 15 14 13 12 13 12 11 10 11 12 13 14 15 16 15 14 13 14 13 12 11 10 11 10 11 12 13 12 11 10 9 10 9 10 9 8 7 8 9 10 11 10 9 8 7 6 7 8 7 8 7 6 7 8 7 6 5 6 5 4 3 2 3 2 1 0
c c q w v v	1 2 3 2 1 0
[ [ a c c ( ( [ c v { q [ a c v s [ ] ] w } z x ] ) ) < c c c c v v v v > [ c v ] v v s ( ( z x ) ) < > ] c v ] z q w x	1 2 3 4 5 6 7 8 9 8 9 10 11 12 13 12 11 12 11 10 9 8 9 8 7 6 5 6 7 8 9 10 9 8 7 6 5 6 7 6 5 4 3 2 3 4 5 4 3 2 3 2 1 2 1 0 1 2 1 0
c c c v c [ c < c { c v ( ( c < c [ z c ( c v q q w { ( ) } w < z x > ) v x ] c [ c ( c v ) v ] c v v a s v > v z x ) a s ) } v > v ] v c q w c v v v v	1 2 3 2 3 4 5 6 7 8 9 8 9 10 11 12 13 14 15 16 17 18 17 18 19 18 19 20 19 18 17 18 19 18 17 16 15 14 13 14 15 16 17 18 17 16 15 14 15 14 13 14 13 12 11 10 11 10 9 10 9 8 7 6 5 4 3 2 3 4 3 4 3 2 1 0
[ ( z a c v [ z c v x ] c v ( z c c < q { c c v v c [ ] c c q w c < ( ) > < > v v v v } w > v [ ] v c v x ) c v s q < < > { } > w x ) ] q w	1 2 3 4 5 4 5 6 7 6 5 4 5 4 5 6 7 8 9 10 11 12 13 12 11 12 13 12 13 14 15 14 15 16 17 16 15 16 15 14 13 12 11 10 9 8 7 8 7 6 7 6 5 4 5 4 3 4 5 6 5 6 5 4 3 2 1 0 1 0
( a ( { c [ ] v } a q ( ) c c { { q ( c [ { a s < > [ ] c v c { } v } ( z x [ c v ] ) c v ] c < c < > v c v > c c ( ) v v v v q c v w ) < c v > w c v } } v ( < > ) v w s < > ) [ ] s ) [ ]	1 2 3 4 5 6 5 4 3 4 5 6 5 6 7 8 9 10 11 12 13 14 15 14 15 14 15 14 15 14 15 16 15 14 13 14 15 14 15 16 15 14 13 14 13 12 13 14 15 16 15 14 15 14 13 14 15 16 15 14 13 12 11 12 13 12 11 10 11 12 11 10 9 10 9 8 7 6 7 8 7 6 5 4 3 4 3 2 3 2 1 0 1 0
c { c [ c c ( c [ ] v ( ) c < > c v v c c c < c a < ( q c c c v v v w ) > s v > { } v v ( ) v ) [ ] v v c v ] [ ] v } v { }	1 2 3 4 5 6 7 8 9 8 7 8 7 8 9 8 9 8 7 8 9 10 11 12 13 14 15 16 17 18 19 18 17 16 15 14 13 12 11 10 11 10 9 8 9 8 7 6 7 6 5 4 5 4 3 4 3 2 1 0 1 0
< c v > c v c ( ) v	1 2 1 0 1 0 1 2 1 0
a { [ [ c q w v ] { z < > x { ( ) c c c c v c < > c { } c < { c v c v } > v v v v { } v a c c [ ] v v s [ ] v [ c v ] } } ] } s c { } v	1 2 3 4 5 6 5 4 3 4 5 6 5 4 5 6 5 6 7 8 9 8 9 10 9 10 11 10 11 12 13 14 13 14 13 12 11 10 9 8 7 8 7 6 7 8 9 10 9 8 7 6 7 6 5 6 7 6 5 4 3 2 1 0 1 2 1 0
c z x v c c v ( ) v q a a s < c c q ( { c c c { c < < > < a s > > c v ( ) c c c v v a ( ) s v q a z < c v ( ) > x [ [ ] ] s [ { } c z c v x v ] w v } c v v v c v v } c v ) c v w z x v c v v > q w s w	1 2 1 0 1 2 1 2 1 0 1 2 3 2 3 4 5 6 7 8 9 10 11 12 13 14 15 14 15 16 15 14 13 14 13 14 13 14 15 16 15 14 15 16 15 14 13 14 15 16 17 18 17 18 17 16 15 16 17 16 15 14 15 16 15 16 17 18 17 16 15 14 13 12 11 12 11 10 9 10 9 8 7 8 7 6 7 6 5 6 5 4 5 4 3 2 3 2 1 0
c c [ { c z x c v c v v [ c v ] } ] v [ c c < c v > c q q w c [ a c v { z x [ c c c v v q w v ] } s z x c v ] a s v c a s v w v c v v < > v ] [ ] v c v	1 2 3 4 5 6 5 6 5 6 5 4 5 6 5 4 3 2 1 2 3 4 5 6 5 4 5 6 7 6 7 8 9 10 9 10 11 10 11 12 13 14 13 12 13 12 11 10 9 8 9 8 9 8 7 8 7 6 7 8 7 6 5 4 5 4 3 4 3 2 1 2 1 0 1 0
c c { } v [ [ ( [ c { c c q [ c c v v z x ] w q w v v } v < > ] { ( ( ) [ c < > v ] < a ( ) s > [ < ( ) > c q q w w v [ < a [ ] c v s > { } ] ] ) } ) c c q < > w v v < > ] c v ] [ ] v [ ]	1 2 3 2 1 2 3 4 5 6 7 8 9 10 11 12 13 12 11 12 11 10 9 10 9 8 7 6 5 6 5 4 5 6 7 6 7 8 9 8 7 6 7 8 9 8 7 6 7 8 9 8 7 8 9 10 9 8 7 8 9 10 11 10 11 10 9 8 9 8 7 6 5 4 3 4 5 6 7 6 5 4 3 4 3 2 3 2 1 2 1 0 1 0
{ c v c [ < q q a c < q w > < c c q z x w c ( ) v v v > c < < ( ) > > c v a c a s v s [ ( ) ] [ z { a c v { q w } s } x q w ] < > q w v v [ c v ] ( < > ) s ( ) w q c v w w > ] [ ] v }	1 2 1 2 3 4 5 6 7 8 9 10 9 8 9 10 11 12 13 12 11 12 13 12 11 10 9 8 9 10 11 12 11 10 9 10 9 10 11 12 11 10 9 10 11 10 9 10 11 12 13 14 13 14 15 14 13 12 11 10 11 10 9 10 9 10 9 8 7 8 9 8 7 8 9 8 7 6 7 6 5 6 7 6 5 4 3 2 3 2 1 0
z < > c v x a c ( a c [ c c v v ] v s ) v s	1 2 1 2 1 0 1 2 3 4 5 6 7 8 7 6 5 4 3 2 1 0
c c c c ( c { c v } v ( a s ) c v c v ) v c < > c [ ] v v v v [ ] [ a s ] v { } [ [ ] ]	1 2 3 4 5 6 7 8 7 6 5 6 7 6 5 6 5 6 5 4 3 4 5 4 5 6 5 4 3 2 1 2 1 2 3 2 1 0 1 0 1 2 1 0
c v c { } v c c [ [ c c [ c z c ( { q c ( < < { } > > c { c z q w x v ( < > c v c v c c v v ) } v q w ) v c v w } c v ) ( ) v x z < z x > x v [ c v ] ] v [ ] v ] ] a s v v	1 0 1 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 17 16 15 16 17 18 19 20 19 18 17 18 19 18 19 18 19 18 19 20 19 18 17 16 15 16 15 14 13 14 13 12 11 12 11 10 11 10 9 8 9 10 11 10 9 8 7 8 9 8 7 6 5 6 5 4 3 2 3 2 1 0
( c c { } [ c < a s > { } [ ] v ] v v ) a q w s	1 2 3 4 3 4 5 6 7 6 5 6 5 6 5 4 3 2 1 0 1 2 1 0
( c < c c v < < < > c { [ [ c c [ ] a s v v c v c c c v c < > v v v { } c v ] ] } { < c v > } v c a a s s v > c ( c v ) v > v z x > v )	1 2 3 4 5 4 5 6 7 6 7 8 9 10 11 12 13 12 13 12 11 10 11 10 11 12 13 12 13 14 13 12 11 10 11 10 11 10 9 8 7 8 9 10 9 8 7 6 7 8 9 8 7 6 5 6 7 8 7 6 5 4 3 4 3 2 1 0
c v c c v c { a [ ] s } v ( ( ( c c v v ) ) { } c [ < z < c [ c v [ ] ] v > c v x [ ] > ] z x c a s v v q w z < > x { c c q w v v } ) c v v ( )	1 0 1 2 1 2 3 4 5 4 3 2 1 2 3 4 5 6 5 4 3 2 3 2 3 4 5 6 7 8 9 10 9 10 9 8 7 6 7 6 5 6 5 4 3 4 3 4 5 4 3 2 3 2 3 4 3 2 3 4 5 6 5 4 3 2 1 2 1 0 1 0
c c c { { [ ] } } v v v	1 2 3 4 5 6 5 4 3 2 1 0
< c ( ) c ( ) c v v v > c c c < c [ q c q [ < c z { } x v c v c v c c c < > v { } v v c < > v > [ ] ] { } c v c v { } w v z x w { [ ] } ] ( ) v c c v v > ( ) v v a s v	1 2 3 2 3 4 3 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 13 12 11 12 11 12 11 12 13 14 15 14 13 14 13 12 11 12 13 12 11 10 11 10 9 10 9 10 9 10 9 10 9 8 7 8 7 6 7 8 7 6 5 6 5 4 5 6 5 4 3 4 3 2 1 2 1 0
c v z x a { } s [ z [ { c [ ] v } ] [ q [ ] < z c c [ [ c v ] ] v [ a c c z c v x { } v v s ( ) ( a s ) ] v x > w ] ( ) c v x ] ( { } )	1 0 1 0 1 2 1 0 1 2 3 4 5 6 5 4 3 2 3 4 5 4 5 6 7 8 9 10 11 10 9 8 7 8 9 10 11 12 13 12 11 12 11 10 9 8 9 8 9 10 9 8 7 6 5 4 3 2 3 2 3 2 1 0 1 2 1 0
[ [ c ( c c v a { c c v [ c { ( q { ( z c [ c v q w ] v x < > ) { } } w ) } a c v s v c z x c v [ ( ) ] v ] v < > c v } z x s < > v ) c c [ ] v v < > v q w ] ]	1 2 3 4 5 6 5 6 7 8 9 8 9 10 11 12 13 14 15 16 17 18 19 18 19 18 17 16 15 16 15 14 15 14 13 12 11 10 11 12 11 10 9 10 11 10 11 10 11 12 11 10 9 8 7 8 7 8 7 6 7 6 5 6 5 4 3 4 5 6 5 4 3 4 3 2 3 2 1 0
c v < q w >	1 0 1 2 1 0
{ c v c c { } v v } c c c v v v	1 2 1 2 3 4 3 2 1 0 1 2 3 2 1 0
< ( c c c v ( c q < q w > w [ [ ( c v c v ) { } c v < { c c a ( [ ] ) c { } z x q w v s c [ c v ] v v c a s v v } > ] ] c v v ) c v v v [ a s c v ] { } ) > c v < >	1 2 3 4 5 4 5 6 7 8 9 8 7 6 7 8 9 10 9 10 9 8 9 8 9 8 9 10 11 12 13 14 15 14 13 14 15 14 15 14 15 14 13 12 13 14 15 14 13 12 11 12 13 12 11 10 9 8 7 6 7 6 5 4 5 4 3 2 3 4 3 4 3 2 3 2 1 0 1 0 1 0
c v { } c { } c v v [ [ ] ] [ c c < c < > [ c [ c a c v s v z [ c v ] < < > > c q a [ a s c v ] ( < < > ( q w ) > { [ ] q w } { } ) { } s w c v c v v x [ ] ] c q w v v [ ] ] c c v ( ) v v c v > a s v	1 0 1 0 1 2 1 2 1 0 1 2 1 0 1 2 3 4 5 6 5 6 7 8 9 10 11 10 9 8 9 10 11 10 9 10 11 10 9 10 11 12 13 14 13 14 13 12 13 14 15 14 15 16 15 14 13 14 15 14 15 14 13 14 13 12 13 12 11 10 11 10 11 10 9 8 9 8 7 8 9 8 7 6 7 6 5 6 7 6 7 6 5 4 5 4 3 4 3 2
< z c c ( q w ) v v x c v > { ( { c < c v < > > c v z x v } c v c [ [ ] [ ] ] < [ c v ] a s > v [ c v ( c c c v v { < > } v c { } v ) c c c v v v ] ) ( ) }	1 2 3 4 5 6 5 4 3 2 1 2 1 0 1 2 3 4 5 6 5 6 5 4 5 4 5 4 3 2 3 2 3 4 5 4 5 4 3 4 5 6 5 4 5 4 3 2 3 4 3 4 5 6 7 6 5 6 7 6 5 4 5 6 5 4 3 4 5 6 5 4 3 2 1 2 1 0
q w z c [ ] v c a { } c { c v } < a s > { c v } v s ( ) c q w v c < [ ] < > c c c [ ] v v c v a s v > q c { } v < [ ] > w v z c v c v x v c ( ) v c v x q z x w a s	1 0 1 2 3 2 1 2 3 4 3 4 5 6 5 4 5 6 5 4 5 6 5 4 3 2 3 2 3 4 3 2 3 4 5 4 5 4 5 6 7 8 7 6 5 6 5 6 5 4 3 4 5 6 5 4 5 6 5 4 3 2 3 4 3 4 3 2 1 2 3 2 1 2 1 0 1 2 1 0 1 0
{ [ ] } c a s c c v ( c v [ c v ] ) v [ [ { z c v < a { [ c { c v } [ [ ] a s ] v c a [ ] s < > v ] < c v > } s > x [ c z x { } v ] } ] [ a a s s ] ] c v v z ( ) [ ] x	1 2 1 0 1 2 1 2 3 2 3 4 3 4 5 4 3 2 1 2 3 4 5 6 5 6 7 8 9 10 11 12 11 10 11 12 11 12 11 10 9 10 11 12 11 10 11 10 9 8 9 10 9 8 7 6 5 4 5 6 7 6 7 6 5 4 3 2 3 4 5 4 3 2 1 2 1 0 1 2 1 2 1 0
c [ { c [ ] v < < > > a c a s [ ] v s } ] v < > c v a [ ] s	1 2 3 4 5 4 3 4 5 4 3 4 5 6 5 6 5 4 3 2 1 0 1 0 1 0 1 2 1 0
[ < < q a c < z q c c v c v ( c c v c c c < < c [ ] v ( [ ] c c c ( c v ) v v v ) c v > > v v c v v v c v ) v w x > < > v z x s w [ ( c v ) ] a { } s > z x > ] ( )	1 2 3 4 5 6 7 8 9 10 11 10 11 10 11 12 13 12 13 14 15 16 17 18 19 18 17 18 19 18 19 20 21 22 23 22 21 20 19 18 17 18 17 16 15 14 13 14 13 12 11 12 11 10 9 8 7 6 7 6 5 6 5 4 3 4 5 6 5 4 3 4 5 4 3 2 3 2 1 0 1 0
[ [ < c [ { [ ( c v ) { c v } z x [ c c ( < q w c [ [ z x ] ] v > ) v v ] c [ ] v ] a a s s } ] v > [ { c q c [ c v ] v w ( ) v c c c v v v } c v ] ] ] [ q w ]	1 2 3 4 5 6 7 8 9 8 7 8 9 8 7 8 7 8 9 10 11 12 13 12 13 14 15 16 15 14 13 12 11 10 9 8 7 8 9 8 7 6 7 8 7 6 5 4 3 2 3 4 5 6 7 8 9 8 7 6 5 6 5 4 5 6 7 6 5 4 3 4 3 2 1 0 1 2 1 0
< q [ < < { [ z [ c c [ a [ < { } > ] [ ] c c c ( [ < c [ ] c v v > { c v } ] a s ) v c c v v v c c v v v s ] v a s v ] c v x ] c v } > > ] c v w > < >	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 15 14 13 14 13 14 15 16 17 18 19 20 21 20 21 20 19 18 19 20 19 18 17 18 17 16 15 16 17 16 15 14 15 16 15 14 13 12 11 10 11 10 9 8 9 8 7 6 7 6 5 4 3 2 3 2 1 0 1 0
{ c q c ( ) c c v ( c ( c c v v ) { [ ] c c c v c < > v v q c v c v w < c c v v { } c c v v < c v c { } v c v > > { } v } < > v ) v ( ) v c v w v < > } ( )	1 2 3 4 5 4 5 6 5 6 7 8 9 10 9 8 7 8 9 8 9 10 11 10 11 12 11 10 9 10 11 10 11 10 9 10 11 12 11 10 11 10 11 12 11 10 11 12 11 12 13 12 11 12 11 10 9 10 9 8 7 8 7 6 5 4 5 4 3 4 3 2 1 2 1 0 1 0
{ } { a s } c c c c [ [ ] c c z [ q w ] x v c c c ( a c v { [ c < c ( ) v > v ] a s } s ) v a c v s c c [ ] < > v v v v [ ] v ] { } v [ ] c v v v v	1 0 1 2 1 0 1 2 3 4 5 6 5 6 7 8 9 10 9 8 7 6 7 8 9 10 11 12 11 12 13 14 15 16 17 16 15 14 13 12 13 12 11 10 9 8 9 10 9 8 9 10 11 10 11 10 9 8 7 6 7 6 5 4 5 4 3 4 3 4 3 2 1 0
c c q w c c v v a q c { ( { c [ a s ] c c c c c v v v { c c v < > v c c a c ( c ( [ c c v v c v ] ) v ) ( ) v s { c v [ { } q c v c v { } w ] } v v } v v < > v { } } ) } v w c v s [ ] v v c v	1 2 3 2 3 4 3 2 3 4 5 6 7 8 9 10 11 10 9 10 11 12 13 14 13 12 11 12 13 14 13 14 13 12 13 14 15 16 17 18 19 20 21 22 21 20 21 20 19 18 17 16 17 16 15 14 15 16 15 16 17 16 17 18 17 18 17 18 17 16 15 14 13 12 11 10 9 10 9 8 9 8 7 6 5 4 3 4 3 2 3 2 1 0 1 0
z c v x z q c a s a < c v > s v w x	1 2 1 0 1 2 3 4 3 4 5 6 5 4 3 2 1 0
c [ { [ ] c c v c c a < c [ [ ] ] a q w s v c c v < c v [ c c v v ] c v { } q { } z c q w v x w > v > s v v v } c v c c v v ] v ( )	1 2 3 4 3 4 5 4 5 6 7 8 9 10 11 10 9 10 11 10 9 8 9 10 9 10 11 10 11 12 13 12 11 10 11 10 11 10 11 12 11 12 13 14 13 12 11 10 9 8 7 6 5 4 3 2 3 2 3 4 3 2 1 0 1 0
[ a [ c v ] s ] c c c c v v v v	1 2 3 4 3 2 1 0 1 2 3 4 3 2 1 0
c a { c [ q { ( { } < ( c c ( a { } s ) v v ) ( c c [ c c z a { c v [ [ ] ] } c c c { } v v v s x v ( c v c < > v ) v < > ] { [ ] } v < > v ) > ) } w ] { } v [ ] } s v	1 2 3 4 5 6 7 8 9 8 9 10 11 12 13 14 15 14 13 12 11 10 9 10 11 12 13 14 15 16 17 18 19 18 19 20 19 18 17 18 19 20 21 20 19 18 17 16 15 14 15 16 15 16 17 16 15 14 13 14 13 12 13 14 13 12 11 12 11 10 9 8 7 6 5 4 5 4 3 4 3 2 1 0
a { } s c c c c v v c v v ( c { c [ ( ) ] v q c < c v > v w } v ) v q w	1 2 1 0 1 2 3 4 3 2 3 2 1 2 3 4 5 6 7 6 5 4 5 6 7 8 7 6 5 4 3 2 1 0 1 0
c c c v v v z z z c { c [ ] [ ] v } v x q w c [ ] v x x	1 2 3 2 1 0 1 2 3 4 5 6 7 6 7 6 5 4 3 2 3 2 3 4 3 2 1 0
< c < { { z x } } c v > c q w ( a z [ a s ] [ c v c [ ( < > ) { } ] v a ( { q w c v c c v v { } } ) c v s c v ] z x x s ) { q w } z x v v >	1 2 3 4 5 6 5 4 3 4 3 2 3 4 3 4 5 6 7 8 7 6 7 8 7 8 9 10 11 10 9 10 9 8 7 8 9 10 11 10 11 10 11 12 11 10 11 10 9 8 9 8 7 8 7 6 7 6 5 4 3 4 5 4 3 4 3 2 1 0
[ { c [ < z ( ) x a c v s z [ q w ] c c z < ( < > z x ( a [ ] s ) ) > x c v v ( q w ( [ [ q w ] z { } x ] ) ) < > v x > c v ( c v c v ) ] { } v [ ] { } } ]	1 2 3 4 5 6 7 6 5 6 7 6 5 6 7 8 7 6 7 8 9 10 11 12 11 12 11 12 13 14 13 12 11 10 9 8 9 8 7 8 9 8 9 10 11 12 11 10 11 12 11 10 9 8 7 8 7 6 5 4 5 4 5 6 5 6 5 4 3 4 3 2 3 2 3 2 1 0
[ a z x < > s ] < c v ( ) >	1 2 3 2 3 2 1 0 1 2 1 2 1 0
[ c { } a c v c ( c c v ( < > { } ) v ) ( { } ) v a ( [ c v q [ q c [ ] v w c [ a s c q w c { } { } v v c v c v ] v c v ] a c v s w [ c v ] ] c v ) s q w s v q w ] [ ]	1 2 3 2 3 4 3 4 5 6 7 6 7 8 7 8 7 6 5 4 5 6 5 4 3 4 5 6 7 6 7 8 9 10 11 10 9 8 9 10 11 10 11 12 11 12 13 12 13 12 11 10 11 10 11 10 9 8 9 8 7 8 9 8 7 6 7 8 7 6 5 6 5 4 3 4 3 2 1 2 1 0 1 0
c q c { } v w { } v c [ ( ( { { c c ( c < c v > ( < [ c c c a c c c c v v q c a [ c v ] s z x c v v c { } v w v z x v s c v c a s v v v a s v ] > ) z x v ) v v } } { } [ ] ) ) c v ] q w v z x	1 2 3 4 3 2 1 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 11 10 11 12 13 14 15 16 17 18 19 20 21 20 19 20 21 22 23 24 23 22 21 22 21 22 21 20 21 22 21 20 19 18 19 18 17 16 17 16 17 18 17 16 15 14 15 14 13 12 11 10 11 10 9 8 7 6 5 4 5 4 5 4 3 2 3 2 1 2 1 0 1 0
c c z c c c c v v v v x v v	1 2 3 4 5 6 7 6 5 4 3 2 1 0
{ a z ( a c < [ { c q w c < ( c c c [ c v ] v ( ) < > v a z x s v < c c v v c v q w > [ ] ) c c c c v ( ) v { c v } v v > v c v v c c v v } c [ ] v ] q w > v s ) z x x s } c v	1 2 3 4 5 6 7 8 9 10 11 10 11 12 13 14 15 16 17 18 17 16 15 16 15 16 15 14 15 16 15 14 13 14 15 16 15 14 15 14 15 14 13 14 13 12 13 14 15 16 15 16 15 14 15 16 15 14 13 12 11 10 11 10 9 10 11 10 9 8 9 10 9 8 7 8 7 6 5 4 3 4 3 2 1 0 1 0
{ z { c a { a s } s [ c c { c v { } } c c a < > ( q w ) s v z c z c ( [ c v ] ) v a s c { [ [ ] ] } v < c v > c v x v x a ( [ ] ) s z c v x v c v v v z c < > v x ] v } x { } }	1 2 3 4 5 6 7 6 5 4 5 6 7 8 9 8 9 8 7 8 9 10 11 10 11 12 11 10 9 8 9 10 11 12 13 14 15 14 13 12 11 12 11 12 13 14 15 14 13 12 11 12 13 12 11 12 11 10 9 8 9 10 11 10 9 8 9 10 9 8 7 8 7 6 5 6 7 8 7 6 5 4 3 2 1 2 1 0
c a s < a { q c v w c v z x } a [ c v { ( c q c ( [ z x ] ) v c c v v w v ) ( c [ ] v < < > > ( ) c v ) } ] q w c c c v c v v c c v v ( ) v s s { [ ] c v [ ] } > v c c v v	1 2 1 2 3 4 5 6 5 4 5 4 5 4 3 4 5 6 5 6 7 8 9 10 11 12 13 12 11 10 9 10 11 10 9 8 7 6 7 8 9 8 7 8 9 8 7 8 7 8 7 6 5 4 5 4 5 6 7 6 7 6 5 6 7 6 5 6 5 4 3 2 3 4 3 4 3 4 3 2 1 0 1 2 1 0
c v c c c v v < ( c a c { [ ( < > c [ c v ] c c q c v w v v ( ) v q w c [ ] v ( [ < > ( ) a s [ ] ] { } ( ) ) ) [ ] ] [ ] } c < q w > [ ] a s v v s [ ] v ) > v c ( c v [ ] ) v	1 0 1 2 3 2 1 2 3 4 5 6 7 8 9 10 9 10 11 12 11 10 11 12 13 14 13 12 11 10 11 10 9 10 9 10 11 10 9 10 11 12 11 12 11 12 11 12 11 10 11 10 11 10 9 8 9 8 7 8 7 6 7 8 9 8 7 8 7 8 7 6 5 4 5 4 3 2 1 0 1 2 3 2 3 2 1 0
< < z z x c c c v v v x > >	1 2 3 4 3 4 5 6 5 4 3 2 1 0
< < c c q c v < c c v v > c [ q [ ( { z ( ( c v ) q ( ) [ c v ] < [ < c { } v { c v < a s c v > } [ z [ c v c v ] ( q w ) x ( ) ] > ( ) ] > w c v ) a s [ ] x } [ ] ( ) ) ] w ] [ ] v w a s v v > [ ] >	1 2 3 4 5 6 5 6 7 8 7 6 5 6 7 8 9 10 11 12 13 14 15 14 13 14 15 14 15 16 15 14 15 16 17 18 19 18 17 18 19 18 19 20 19 20 19 18 17 18 19 20 21 20 21 20 19 20 21 20 19 18 19 18 17 16 17 16 15 14 13 14 13 12 13 12 13 12 11 10 11 10 11 10 9 8 7 6 7 6 5 4 5 4 3 2 1 2 1 0
c c < q { c c a c v s v v } c c v v w > v c ( q w { q c c v v z a s x w c v } ) { a s } v v	1 2 3 4 5 6 7 8 9 8 7 6 5 4 5 6 5 4 3 2 1 2 3 4 3 4 5 6 7 6 5 6 7 6 5 4 5 4 3 2 3 4 3 2 1 0
c q z x w { { c c c { } v < > ( z c [ a c ( ) v s ] v x { c c [ ] v v a c { } v < c a s c [ ] c q c v w v [ q w ] v v > ( ) s { } } ) [ ] v v } } v	1 2 3 2 1 2 3 4 5 6 7 6 5 6 5 6 7 8 9 10 11 12 11 10 9 8 7 6 7 8 9 10 9 8 7 8 9 10 9 8 9 10 11 10 11 12 11 12 13 14 13 12 11 12 13 12 11 10 9 8 9 8 7 8 7 6 5 6 5 4 3 2 1 0
c a [ c v < z < { [ c v < [ ] [ ( a < > s c c { c v } < z x > v < > v c c v [ ] c { c v } z { } c c v c { } v v { } x [ ] c v c v v v ) c v ] z x c v > ] c < > v c v } c v > c v x > z x ] ( ) s c v v	1 2 3 4 3 4 5 6 7 8 9 8 9 10 9 10 11 12 13 12 11 12 13 14 15 14 13 14 15 14 13 12 13 12 11 12 13 12 13 12 13 14 15 14 13 14 15 14 15 16 15 16 17 16 15 14 15 14 13 14 13 14 13 14 13 12 11 10 11 10 9 10 9 10 9 8 7 8 9 8 7 8 7 6 7 6 5 6 5 4 3 4 3 2 3 2 1 2 1 0
( c c v c v v )	1 2 3 2 3 2 1 0
